Año,Trimestre,Provincia,Accesos TV por suscripción
2022,4,Buenos Aires,2.965.696
2022,4,Capital Federal,738.948
2022,4,Catamarca,54.332
2022,4,Chaco,124.007
2022,4,Chubut,80.548
2022,4,Córdoba,1.144.232
2022,4,Corrientes,138.275
2022,4,Entre Ríos,232.681
2022,4,Formosa,68.178
2022,4,Jujuy,118.439
2022,4,La Pampa,84.533
2022,4,La Rioja,24.198
2022,4,Mendoza,135.969
2022,4,Misiones,144.537
2022,4,Neuquén,75.837
2022,4,Río Negro,106.441
2022,4,Salta,216.928
2022,4,San Juan,39.665
2022,4,San Luis,48.667
2022,4,Santa Cruz,36.885
2022,4,Santa Fe,765.310
2022,4,Santiago Del Estero,153.651
2022,4,Tierra Del Fuego,44.077
2022,4,Tucumán,137.991
2022,3,Buenos Aires,2.998.021
2022,3,Capital Federal,743.338
2022,3,Catamarca,52.274
2022,3,Chaco,121.771
2022,3,Chubut,80.020
2022,3,Córdoba,1.141.181
2022,3,Corrientes,135.711
2022,3,Entre Ríos,231.102
2022,3,Formosa,68.010
2022,3,Jujuy,116.493
2022,3,La Pampa,74.175
2022,3,La Rioja,24.224
2022,3,Mendoza,133.136
2022,3,Misiones,142.905
2022,3,Neuquén,73.768
2022,3,Río Negro,101.277
2022,3,Salta,214.522
2022,3,San Juan,39.324
2022,3,San Luis,47.371
2022,3,Santa Cruz,42.088
2022,3,Santa Fe,758.933
2022,3,Santiago Del Estero,151.092
2022,3,Tierra Del Fuego,43.869
2022,3,Tucumán,131.326
2022,2,Buenos Aires,2.994.210
2022,2,Capital Federal,745.194
2022,2,Catamarca,52.137
2022,2,Chaco,122.109
2022,2,Chubut,79.115
2022,2,Córdoba,1.141.123
2022,2,Corrientes,132.406
2022,2,Entre Ríos,230.101
2022,2,Formosa,67.339
2022,2,Jujuy,112.372
2022,2,La Pampa,77.942
2022,2,La Rioja,24.062
2022,2,Mendoza,129.894
2022,2,Misiones,142.495
2022,2,Neuquén,75.772
2022,2,Río Negro,107.552
2022,2,Salta,213.618
2022,2,San Juan,37.356
2022,2,San Luis,47.129
2022,2,Santa Cruz,42.016
2022,2,Santa Fe,750.117
2022,2,Santiago Del Estero,148.501
2022,2,Tierra Del Fuego,42.480
2022,2,Tucumán,132.544
2022,1,Buenos Aires,2.975.672
2022,1,Capital Federal,745.263
2022,1,Catamarca,47.123
2022,1,Chaco,119.743
2022,1,Chubut,77.728
2022,1,Córdoba,1.124.246
2022,1,Corrientes,131.173
2022,1,Entre Ríos,229.140
2022,1,Formosa,67.264
2022,1,Jujuy,109.925
2022,1,La Pampa,78.656
2022,1,La Rioja,23.751
2022,1,Mendoza,120.661
2022,1,Misiones,139.738
2022,1,Neuquén,76.008
2022,1,Río Negro,107.854
2022,1,Salta,215.980
2022,1,San Juan,34.474
2022,1,San Luis,46.491
2022,1,Santa Cruz,41.803
2022,1,Santa Fe,744.319
2022,1,Santiago Del Estero,145.552
2022,1,Tierra Del Fuego,42.756
2022,1,Tucumán,119.507
2021,4,Buenos Aires,3.002.329
2021,4,Capital Federal,746.094
2021,4,Catamarca,44.924
2021,4,Chaco,117.381
2021,4,Chubut,76.640
2021,4,Córdoba,1.118.579
2021,4,Corrientes,116.488
2021,4,Entre Ríos,229.305
2021,4,Formosa,67.396
2021,4,Jujuy,108.333
2021,4,La Pampa,82.376
2021,4,La Rioja,25.613
2021,4,Mendoza,115.618
2021,4,Misiones,139.606
2021,4,Neuquén,76.685
2021,4,Río Negro,111.231
2021,4,Salta,206.327
2021,4,San Juan,33.497
2021,4,San Luis,46.426
2021,4,Santa Cruz,41.732
2021,4,Santa Fe,746.848
