Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2022,4,Buenos Aires,3.128.431,2.802.796,264.038,12.029,49.568
2022,4,Capital Federal,1.563.142,1.400.437,131.928,6.010,24.767
2022,4,Catamarca,25.083,22.473,2.117,96,397
2022,4,Chaco,64.683,57.950,5.459,249,1.025
2022,4,Chubut,54.249,48.601,4.579,209,860
2022,4,Córdoba,495.095,443.560,41.786,1.904,7.845
2022,4,Corrientes,89.013,79.748,7.513,342,1.410
2022,4,Entre Ríos,160.151,143.480,13.517,616,2.538
2022,4,Formosa,35.186,31.523,2.970,135,558
2022,4,Jujuy,35.655,31.944,3.009,137,565
2022,4,La Pampa,66.351,59.445,5.600,255,1.051
2022,4,La Rioja,25.586,22.924,2.159,98,405
2022,4,Mendoza,162.938,145.977,13.752,627,2.582
2022,4,Misiones,76.346,68.398,6.444,294,1.210
2022,4,Neuquén,68.693,61.543,5.798,264,1.088
2022,4,Río Negro,67.359,60.348,5.685,259,1.067
2022,4,Salta,86.362,77.373,7.289,332,1.368
2022,4,San Juan,52.803,47.306,4.457,203,837
2022,4,San Luis,27.706,24.822,2.338,107,439
2022,4,Santa Cruz,22.986,20.594,1.940,88,364
2022,4,Santa Fe,490.492,439.437,41.397,1.886,7.772
2022,4,Santiago del Estero,64.909,58.153,5.478,250,1.028
2022,4,Tierra del Fuego,14.833,13.289,1.252,57,235
2022,4,Tucumán,162.823,145.875,13.742,626,2.580
2022,3,Buenos Aires,3.116.760,2.791.694,265.040,11.756,48.270
2022,3,Capital Federal,1.567.975,1.404.441,133.336,5.914,24.284
2022,3,Catamarca,25.646,22.971,2.181,97,397
2022,3,Chaco,65.551,58.715,5.574,247,1.015
2022,3,Chubut,58.697,52.576,4.991,221,909
2022,3,Córdoba,486.942,436.156,41.408,1.837,7.541
2022,3,Corrientes,89.977,80.594,7.651,339,1.393
2022,3,Entre Ríos,157.201,140.805,13.368,593,2.435
2022,3,Formosa,35.254,31.577,2.998,133,546
2022,3,Jujuy,36.008,32.252,3.062,136,558
2022,3,La Pampa,66.212,59.307,5.630,250,1.025
2022,3,La Rioja,25.447,22.793,2.164,96,394
2022,3,Mendoza,138.458,124.018,11.774,522,2.144
2022,3,Misiones,76.605,68.616,6.514,289,1.186
2022,3,Neuquén,73.079,65.457,6.214,276,1.132
2022,3,Río Negro,65.111,58.320,5.537,246,1.008
2022,3,Salta,87.776,78.622,7.464,331,1.359
2022,3,San Juan,60.588,54.269,5.152,229,938
2022,3,San Luis,25.373,22.726,2.158,96,393
2022,3,Santa Cruz,22.797,20.419,1.939,86,353
2022,3,Santa Fe,497.685,445.778,42.322,1.877,7.708
2022,3,Santiago del Estero,62.622,56.091,5.325,236,970
2022,3,Tierra del Fuego,19.122,17.128,1.626,72,296
2022,3,Tucumán,163.764,146.684,13.926,618,2.536
2022,2,Buenos Aires,3.128.431,2.802.796,264.038,12.029,49.568
2022,2,Capital Federal,1.563.142,1.400.437,131.928,6.010,24.767
2022,2,Catamarca,25.083,22.473,2.117,96,397
2022,2,Chaco,64.683,57.950,5.459,249,1.025
2022,2,Chubut,54.249,48.601,4.579,209,860
2022,2,Córdoba,495.095,443.560,41.786,1.904,7.845
2022,2,Corrientes,89.013,79.748,7.513,342,1.410
2022,2,Entre Ríos,160.151,143.480,13.517,616,2.538
2022,2,Formosa,35.186,31.523,2.970,135,558
2022,2,Jujuy,35.655,31.944,3.009,137,565
2022,2,La Pampa,66.351,59.445,5.600,255,1.051
2022,2,La Rioja,25.586,22.924,2.159,98,405
2022,2,Mendoza,162.938,145.977,13.752,627,2.582
2022,2,Misiones,76.346,68.398,6.444,294,1.210
2022,2,Neuquén,68.693,61.543,5.798,264,1.088
2022,2,Río Negro,67.359,60.348,5.685,259,1.067
2022,2,Salta,86.362,77.373,7.289,332,1.368
2022,2,San Juan,52.803,47.306,4.457,203,837
2022,2,San Luis,27.706,24.822,2.338,107,439
2022,2,Santa Cruz,22.986,20.594,1.940,88,364
2022,2,Santa Fe,490.492,439.437,41.397,1.886,7.772
2022,2,Santiago del Estero,64.909,58.153,5.478,250,1.028
2022,2,Tierra del Fuego,14.833,13.289,1.252,57,235
2022,2,Tucumán,162.823,145.875,13.742,626,2.580
2022,1,Buenos Aires,3.062.075,2.735.498,266.125,11.364,49.088
2022,1,Capital Federal,1.432.318,1.279.557,124.483,5.316,22.962
2022,1,Catamarca,30.156,26.940,2.621,112,483
2022,1,Chaco,84.821,75.774,7.372,315,1.360
2022,1,Chubut,61.117,54.598,5.312,227,980
2022,1,Córdoba,578.691,516.972,50.294,2.148,9.277
2022,1,Corrientes,88.933,79.448,7.729,330,1.426
2022,1,Entre Ríos,189.614,169.391,16.479,704,3.040
2022,1,Formosa,33.824,30.216,2.940,126,542
2022,1,Jujuy,48.682,43.490,4.231,181,780
2022,1,La Pampa,68.620,61.301,5.964,255,1.100
2022,1,La Rioja,27.488,24.556,2.389,102,441
2022,1,Mendoza,163.637,146.185,14.222,607,2.623
2022,1,Misiones,91.333,81.592,7.938,339,1.464
2022,1,Neuquén,65.843,58.821,5.722,244,1.056
2022,1,Río Negro,71.369,63.757,6.203,265,1.144
2022,1,Salta,109.054,97.423,9.478,405,1.748
2022,1,San Juan,62.767,56.073,5.455,233,1.006
2022,1,San Luis,30.071,26.864,2.613,112,482
2022,1,Santa Cruz,23.766,21.232,2.065,88,381
2022,1,Santa Fe,628.606,561.564,54.632,2.333,10.077
2022,1,Santiago del Estero,67.503,60.303,5.867,251,1.082
2022,1,Tierra del Fuego,17.966,16.050,1.561,67,288
2022,1,Tucumán,184.951,165.226,16.074,686,2.965
2021,4,Buenos Aires,3.313.370,3.012.453,234.051,14.886,51.980
2021,4,Capital Federal,1.439.097,1.308.400,101.656,6.465,22.576
2021,4,Catamarca,29.635,26.944,2.093,133,465
2021,4,Chaco,90.829,82.580,6.416,408,1.425
2021,4,Chubut,68.209,62.015,4.818,306,1.070
2021,4,Córdoba,583.715,530.703,41.233,2.622,9.157
2021,4,Corrientes,97.971,89.073,6.921,440,1.537
2021,4,Entre Ríos,207.536,188.688,14.660,932,3.256
2021,4,Formosa,36.411,33.104,2.572,164,571
2021,4,Jujuy,44.258,40.239,3.126,199,694
2021,4,La Pampa,71.751,65.235,5.068,322,1.126
2021,4,La Rioja,26.765,24.334,1.891,120,420
2021,4,Mendoza,204.522,185.947,14.447,919,3.209
2021,4,Misiones,98.622,89.666,6.966,443,1.547
2021,4,Neuquén,72.616,66.022,5.129,326,1.139
2021,4,Río Negro,86.287,78.450,6.095,388,1.354
2021,4,Salta,120.291,109.367,8.497,540,1.887
2021,4,San Juan,66.631,60.580,4.707,299,1.045
2021,4,San Luis,33.020,30.022,2.332,148,518
2021,4,Santa Cruz,27.740,25.220,1.960,125,435
2021,4,Santa Fe,655.796,596.238,46.324,2.946,10.288
