Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2014,1,Buenos Aires,2.672,8.526
2014,1,Capital Federal,5.266,12.857
2014,1,Catamarca,1.003,3.945
2014,1,Chaco,909,3.402
2014,1,Chubut,1.766,5.759
2014,1,Córdoba,2.109,6.888
2014,1,Corrientes,971,3.688
2014,1,Entre Ríos,1.714,5.733
2014,1,Formosa,738,2.898
2014,1,Jujuy,781,3.056
2014,1,La Pampa,2.126,6.452
2014,1,La Rioja,1.098,4.124
2014,1,Mendoza,1.726,6.184
2014,1,Misiones,949,3.485
2014,1,Neuquén,1.527,5.129
2014,1,Río Negro,1.769,5.751
2014,1,Salta,1.076,4.444
2014,1,San Juan,1.271,4.989
2014,1,San Luis,1.092,3.817
2014,1,Santa Cruz,1.317,4.425
2014,1,Santa Fe,2.293,7.291
2014,1,Santiago del Estero,773,3.115
2014,1,Tierra del Fuego,2.223,7.498
2014,1,Tucumán,1.347,5.439
2014,2,Buenos Aires,2.661,8.474
2014,2,Capital Federal,5.256,12.768
2014,2,Catamarca,1.002,3.938
2014,2,Chaco,906,3.389
2014,2,Chubut,1.757,5.731
2014,2,Córdoba,2.091,6.828
2014,2,Corrientes,969,3.680
2014,2,Entre Ríos,1.712,5.725
2014,2,Formosa,737,2.895
2014,2,Jujuy,782,3.059
2014,2,La Pampa,2.145,6.509
2014,2,La Rioja,1.090,4.094
2014,2,Mendoza,1.720,6.164
2014,2,Misiones,945,3.470
2014,2,Neuquén,1.522,5.112
2014,2,Río Negro,1.762,5.728
2014,2,Salta,1.075,4.437
2014,2,San Juan,1.267,4.973
2014,2,San Luis,1.089,3.803
2014,2,Santa Cruz,1.311,4.404
2014,2,Santa Fe,2.280,7.251
2014,2,Santiago del Estero,770,3.102
2014,2,Tierra del Fuego,2.208,7.444
2014,2,Tucumán,1.349,5.447
2014,3,Buenos Aires,2.669,8.485
2014,3,Capital Federal,5.269,12.735
2014,3,Catamarca,1.002,3.939
2014,3,Chaco,935,3.497
2014,3,Chubut,1.757,5.732
2014,3,Córdoba,2.074,6.773
2014,3,Corrientes,994,3.774
2014,3,Entre Ríos,1.759,5.884
2014,3,Formosa,736,2.892
2014,3,Jujuy,782,3.059
2014,3,La Pampa,2.120,6.433
2014,3,La Rioja,1.083,4.069
2014,3,Mendoza,1.715,6.144
2014,3,Misiones,952,3.493
2014,3,Neuquén,1.516,5.092
2014,3,Río Negro,1.757,5.713
2014,3,Salta,1.072,4.427
2014,3,San Juan,1.272,4.991
2014,3,San Luis,1.078,3.767
2014,3,Santa Cruz,1.311,4.403
2014,3,Santa Fe,2.290,7.283
2014,3,Santiago del Estero,769,3.098
2014,3,Tierra del Fuego,2.197,7.408
2014,3,Tucumán,1.352,5.456
2014,4,Buenos Aires,2.696,8.555
2014,4,Capital Federal,5.293,12.729
2014,4,Catamarca,999,3.927
2014,4,Chaco,928,3.471
2014,4,Chubut,1.776,5.792
2014,4,Córdoba,2.065,6.743
2014,4,Corrientes,989,3.755
2014,4,Entre Ríos,1.751,5.856
2014,4,Formosa,731,2.873
2014,4,Jujuy,781,3.055
