Año,Trimestre,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2022,4,1.546,4.974
2022,3,1.546,4.979
2022,2,1.557,5.018
2022,1,1.597,5.152
2021,4,1.674,5.388
2021,3,1.541,4.964
2021,2,1.562,5.035
2021,1,1.592,5.136
2020,4,1.616,5.203
2020,3,1.635,5.268
2020,2,1.646,5.306
2020,1,1.670,5.389
2019,4,1.720,5.555
2019,3,1.753,5.666
2019,2,1.811,5.855
2019,1,1.859,6.016
2018,4,2.195,7.107
2018,3,2.175,7.049
2018,2,2.177,7.078
2018,1,2.180,7.074
2017,4,2.344,7.632
2017,3,2.320,7.553
2017,2,2.383,7.765
2017,1,2.357,7.686
2016,4,2.344,7.632
2016,3,2.320,7.553
2016,2,2.383,7.765
2016,1,2.357,7.686
2015,4,2.303,7.517
2015,3,2.326,7.603
2015,2,2.318,7.587
2015,1,2.347,7.689
2014,4,2.261,7.416
2014,3,2.249,7.386
2014,2,2.240,7.365
2014,1,2.249,7.404
